SCHL,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,MAR,NATIVITY,DRIVESP,HICOV,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,DIS,CIT,ENG,LANX,FER,poverty_status
08,,,,,,,12,2,9,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,1
21,1,40,83000,1,0770,0220,29,1,8,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,,0
21,4,60,90000,5,9690,9800,26,1,2,5,1,1,1,2,2,2,2,1,2,2,2,1,,2,,0
09,,,,,,,12,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
01,,,,,,,4,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
18,1,40,30000,5,6370,9130,51,1,6,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
21,6,,0,,,,59,2,1,2,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
19,6,,0,2,8191,3500,51,2,1,3,1,,1,2,2,1,2,2,2,2,1,1,,2,,0
22,1,40,193000,1,7290,0300,45,1,1,1,2,,1,1,2,2,2,2,2,2,2,5,,2,,0
06,,,,,,,9,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
16,1,40,41000,2,8770,5740,62,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
19,1,40,25900,1,7380,1050,34,1,6,4,1,,1,1,2,2,2,2,2,2,2,2,1,1,,0
22,1,30,22000,1,1190,4720,49,2,6,1,2,1,1,2,1,2,2,2,2,2,2,5,2,1,2,0
14,6,,0,,,,18,1,9,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
20,1,25,0,6,7280,5120,44,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
14,6,,0,,,,18,2,7,5,1,,1,2,2,2,1,2,2,2,2,1,2,1,2,1
21,6,,0,,,,22,1,6,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,0
21,6,,0,2,7860,2310,75,2,9,5,1,,1,1,1,1,2,2,2,2,2,1,,2,,0
19,6,,0,,,,90,2,1,2,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
20,1,20,10000,3,7860,4030,25,2,8,5,1,1,1,2,1,2,2,2,2,2,2,1,,2,2,0
21,6,,0,,,,83,1,1,1,2,,1,2,1,1,2,2,2,2,2,4,1,1,,1
16,1,40,101000,1,0770,6230,62,1,9,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,,0
17,1,40,24000,1,0770,6250,28,1,8,5,1,1,1,2,2,2,1,2,2,2,2,1,1,1,,0
20,1,40,116000,1,8191,1050,53,1,8,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
05,,,,,,,7,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,1
21,6,,0,1,3370,1410,51,1,1,1,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
21,1,40,180000,1,6570,2640,32,1,1,5,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
21,1,40,150000,1,0770,0710,44,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
16,6,,0,6,8990,4521,35,2,1,5,1,,1,2,2,2,1,2,2,2,2,1,,2,2,1
21,6,,0,,,,79,2,6,2,1,,1,1,2,1,2,2,2,2,2,1,1,1,,0
18,6,,0,,,,85,2,1,1,2,,1,2,1,1,2,1,2,2,2,4,,2,,0
,,,,,,,2,2,9,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
17,1,40,59000,3,8370,5860,44,2,8,3,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
19,1,60,0,6,7690,4200,53,1,3,1,1,1,1,2,1,2,2,2,2,2,2,1,,2,,0
21,1,40,138000,1,7380,0020,33,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,1,25,0,6,7470,2850,58,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
16,3,16,5200,1,9290,4230,78,2,1,1,2,,1,2,2,1,2,2,2,2,1,4,3,1,,0
21,6,,0,,,,48,1,9,1,2,,1,2,1,1,1,2,2,2,1,4,2,1,,0
19,6,,0,,,,23,2,8,5,2,,2,2,2,2,2,2,2,2,2,5,1,1,2,1
10,,,,,,,13,1,8,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,0
22,1,40,204000,1,2280,4850,36,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,1,0
19,1,40,22000,1,4971,5240,25,2,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
