SCHL,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,MAR,NATIVITY,DRIVESP,HICOV,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,DIS,CIT,ENG,LANX,FER,poverty_status
21,1,40,90000,1,3095,4850,58,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
02,,,,,,,6,1,9,5,1,,2,2,2,2,2,2,2,2,2,1,,2,,0
22,1,40,135000,1,6890,1021,53,1,6,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
20,1,40,39000,1,3390,1555,39,1,8,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,,0
16,6,40,72000,1,7970,5860,39,2,9,1,1,,1,1,2,2,2,2,2,2,2,1,1,1,2,0
21,1,40,76000,1,5392,0051,36,2,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
20,6,,0,,,,74,2,1,1,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
21,3,40,77000,1,8590,0020,33,2,6,5,2,,1,1,2,2,2,2,2,2,2,5,1,1,2,0
21,1,40,5000,7,4971,4000,55,2,9,2,2,,1,2,1,2,2,2,2,2,1,4,1,1,,0
16,1,40,26000,2,8380,6200,47,1,2,3,1,1,1,1,2,2,2,2,2,2,1,1,,2,,0
10,,,,,,,13,2,1,5,2,,1,2,1,2,2,2,2,2,2,5,3,1,,0
16,1,40,60000,3,7790,9130,54,1,8,5,1,1,1,1,2,2,2,2,2,2,2,1,2,1,,0
21,1,40,300000,1,7380,1021,56,1,6,1,2,,1,1,2,2,2,2,2,2,2,5,,2,,0
21,1,45,180000,1,8191,0350,47,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
07,,,,,,,10,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
14,6,,0,1,6170,9130,36,1,8,5,1,,1,1,2,2,2,2,2,2,1,1,,2,,0
02,,,,,,,3,2,9,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
13,1,40,30000,1,1280,8990,59,1,8,1,2,1,1,1,2,2,2,2,2,2,2,4,,2,,0
21,1,40,300000,1,6671,1021,37,1,6,1,2,1,1,1,2,2,2,2,2,2,2,5,1,1,,0
16,1,12,0,6,6992,0540,76,1,1,1,2,,1,2,1,1,2,2,2,2,2,4,,2,,0
16,6,,0,,,,81,1,5,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
16,6,,0,1,6380,5510,46,2,6,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,2,0
23,1,40,120000,1,7780,2100,78,1,9,1,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
12,1,30,0,6,7390,0710,72,1,2,3,1,,1,2,2,1,2,2,2,2,2,1,,2,,1
16,6,,0,1,6190,5510,67,1,8,5,1,,1,2,2,1,2,2,2,2,2,1,,2,,1
19,3,,0,1,8980,4522,58,2,9,1,2,,1,1,2,2,2,2,2,2,2,5,2,1,,0
22,1,40,116000,1,8564,1021,33,1,6,1,2,1,1,1,2,2,2,2,2,2,2,5,1,1,,0
21,6,,0,,,,49,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
23,3,45,160000,1,7460,3110,54,1,1,5,1,,1,1,2,2,2,2,1,2,2,1,,2,,0
19,6,,0,,,,83,1,1,1,1,,1,2,1,1,2,1,2,2,1,1,1,1,,0
19,6,,0,6,7770,4251,47,1,6,1,2,,1,1,2,2,1,2,2,2,2,4,,2,,0
16,6,,0,,,,72,2,8,1,1,,1,2,2,1,1,2,2,2,2,1,,2,,0
16,1,50,46000,1,6890,5330,35,2,1,5,1,1,1,2,2,2,1,2,2,2,1,1,,2,2,0
22,1,40,20000,5,7460,1410,24,1,6,5,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
16,1,15,5000,1,8680,4110,20,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
18,1,20,6200,1,0170,6050,18,1,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
18,6,,0,,,,18,1,1,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
20,6,,0,,,,74,1,6,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
11,,,0,,,,15,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
19,1,40,20000,1,6871,4810,31,2,8,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,2,0
24,1,50,120000,1,7870,1760,53,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
22,3,,0,1,8191,0800,59,2,1,1,2,,1,2,2,2,1,2,2,2,2,4,,2,,0
09,,,,,,,13,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
16,6,,0,,,,80,1,1,1,1,,1,2,2,1,1,2,2,2,1,1,,2,,0
20,1,40,100000,1,3390,0140,57,1,1,1,2,1,1,1,2,2,2,2,2,2,2,5,,2,,0
15,6,10,600,1,8680,4720,17,2,2,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
22,1,40,130000,3,7290,1360,33,1,6,5,2,1,1,1,2,2,2,2,2,2,2,4,,2,,0
18,1,72,0,6,8470,4600,60,2,2,3,1,1,2,2,2,2,2,2,2,2,2,1,,2,,0
20,6,,0,1,7390,0705,35,2,1,5,1,,1,2,1,2,2,2,2,2,2,1,,2,2,0
20,1,40,90000,1,0490,6950,47,1,8,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
24,1,40,200000,1,7460,1750,71,1,1,1,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
24,1,45,200000,1,7380,1021,34,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
11,,,,,,,13,2,1,5,1,,1,2,2,2,1,2,2,2,2,1,2,1,,1
22,1,40,38400,1,7680,3930,50,2,6,5,2,1,1,1,2,2,2,2,2,2,2,4,1,1,2,0
21,1,55,50000,3,9470,2180,24,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,6,,0,,,,74,2,1,1,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
16,1,40,70000,1,0770,5000,21,2,8,5,1,4,1,2,1,2,2,2,2,2,2,1,1,1,2,0
22,1,40,11500,3,8370,5000,57,1,6,1,2,1,1,1,2,2,2,2,2,2,2,4,2,1,,0
16,4,40,115000,5,9690,8740,39,1,3,4,1,1,1,2,2,2,2,1,2,2,2,1,,2,,0
10,,,,,,,12,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,50,150000,1,4170,4710,47,1,9,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
22,1,40,215000,1,3960,0440,37,1,6,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,,0
22,1,40,50000,1,7390,0440,27,1,6,5,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
19,1,40,55000,1,6570,4850,36,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
20,1,45,57000,1,4470,9130,42,1,8,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
06,1,15,400,6,7770,4251,73,1,9,1,2,1,1,2,2,1,1,2,2,2,2,5,3,1,,0
16,6,,0,,,,40,2,1,1,1,,1,2,2,2,1,2,2,2,1,1,,2,2,1
21,1,40,108000,1,5090,9005,66,2,6,3,2,1,1,2,2,1,2,2,2,2,2,4,1,1,,0
10,,,,,,,12,1,8,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,1
21,6,,0,1,6871,5240,69,2,6,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
05,,,,,,,8,2,2,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
22,6,,0,1,8590,0800,65,2,6,1,2,,1,2,2,1,2,2,2,2,2,4,2,1,,0
16,1,50,0,6,7690,4230,31,2,9,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
06,1,50,0,6,0770,6305,52,1,8,1,2,1,1,2,2,2,1,2,2,2,2,5,3,1,,0
18,1,40,51000,1,4470,5610,46,1,9,1,2,2,2,2,2,2,2,2,2,2,2,5,2,1,,0
19,1,40,60000,1,7390,2634,21,1,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
18,1,50,200000,1,6871,0440,52,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
07,,,,,,,9,1,2,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
07,1,50,60000,1,0170,7340,37,1,8,1,2,1,1,1,2,2,2,2,2,2,2,4,4,1,,0
24,6,,0,,,,80,2,6,2,2,,1,2,2,1,1,2,2,2,1,4,1,1,,0
16,1,40,46000,3,9470,5400,60,2,9,5,1,1,1,1,2,2,2,2,2,2,1,1,,2,,0
07,6,,0,4,7860,4120,68,2,8,1,2,,1,2,2,1,2,2,2,2,2,4,1,1,,0
21,6,,0,2,8191,3255,40,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
18,6,,0,,,,60,1,9,2,2,,2,2,2,2,2,2,2,2,1,5,3,1,,0
20,1,40,65000,3,9370,0440,42,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
01,,,,,,,4,2,9,5,1,,1,2,2,2,1,2,2,2,2,3,,,,0
21,6,,0,,,,85,1,6,1,2,,1,2,1,1,2,2,2,2,2,4,1,1,,0
22,1,40,170000,1,7380,1021,27,2,6,5,2,,1,1,2,2,2,2,2,2,2,5,2,1,2,0
21,1,40,8600,1,8370,5860,24,2,8,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
15,1,40,50000,1,9090,9350,20,2,9,5,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,0
19,6,27,7700,1,7480,3300,29,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
22,6,,0,,,,75,2,8,1,2,,1,2,1,1,2,2,2,2,1,5,1,1,,1
12,,,,,,,14,2,8,5,1,,2,2,2,2,2,2,2,2,2,1,,2,,0
18,6,,0,,,,75,1,1,1,1,,1,2,1,1,2,2,2,2,2,1,1,1,,0
16,6,,0,,,,84,1,1,1,2,,1,2,2,1,1,2,2,2,2,4,,2,,0
10,,,,,,,12,2,6,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,0
16,6,,0,,,,19,1,8,5,1,,1,2,2,2,1,2,2,2,2,1,3,1,,1
08,,,,,,,10,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
07,,,,,,,10,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
12,6,,0,,,,16,2,9,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,2,0
17,6,,0,,,,33,1,1,5,1,,1,2,2,2,1,2,2,2,1,1,1,1,,0
09,6,,0,,,,75,2,6,2,2,,1,2,2,1,1,2,2,2,2,5,4,1,,0
20,1,8,8000,1,4971,4700,52,2,8,1,1,1,1,1,2,2,2,2,2,2,1,1,,2,,0
09,,,,,,,13,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
19,6,,0,1,7870,2205,66,2,1,2,1,,1,2,2,1,1,2,2,2,1,1,,2,,1
16,1,80,0,6,9090,4340,20,1,8,5,1,2,1,2,1,2,2,2,2,2,2,1,1,1,,0
16,6,,0,1,6190,5410,34,2,8,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
23,6,45,684000,1,6890,0850,77,1,1,1,2,,1,1,2,1,2,2,2,2,2,5,,2,,0
19,3,40,0,6,6991,9005,38,1,8,3,1,,1,2,2,2,2,2,1,2,2,1,1,1,,0
16,6,,0,,,,66,1,1,5,1,,1,2,2,1,2,2,2,2,1,1,,2,,0
06,,,,,,,10,2,9,5,1,,1,1,2,2,1,2,2,2,2,1,,2,,0
06,,,,,,,9,1,6,5,1,,1,2,2,2,1,2,2,2,1,1,,2,,0
21,1,40,0,6,7290,1360,66,1,1,1,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
22,1,40,208000,1,0570,0750,62,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
11,,,0,,,,15,2,6,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,2,1
20,1,16,2700,1,6070,5240,29,2,7,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,6,,0,1,4370,4850,67,1,1,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
23,1,40,65000,1,1170,4850,44,2,8,3,2,1,1,1,2,2,2,2,2,2,2,5,4,1,2,0
16,6,,0,,,,88,2,1,5,1,,1,1,2,1,2,2,2,2,1,1,,2,,0
21,1,40,88000,4,7870,0800,41,1,6,1,1,,1,1,2,2,2,2,1,2,2,1,3,1,,0
16,1,22,17500,2,6090,9130,56,1,2,3,1,,1,1,2,2,1,2,2,2,1,2,,2,,0
14,1,20,12000,1,1190,5240,17,2,8,5,1,3,1,2,2,2,1,2,2,2,2,1,1,1,2,0
21,1,16,8000,1,5191,0052,30,2,1,5,1,1,1,2,2,2,1,2,2,2,1,1,,2,2,1
23,6,,0,,,,79,2,1,1,1,,1,2,1,1,2,2,2,2,2,1,,2,,0
21,6,,0,1,8180,3255,39,2,1,1,2,,1,2,1,2,2,2,2,2,2,4,1,1,2,0
10,,,,,,,13,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
19,6,,0,,,,73,1,1,1,1,,1,2,2,1,2,2,1,2,1,1,,2,,0
16,6,,0,,,,72,1,6,2,2,,1,2,2,1,1,2,2,2,2,5,2,1,,0
21,1,40,135000,1,6570,0440,42,2,8,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
17,1,40,54000,1,7790,0440,38,1,9,5,1,1,1,1,2,2,1,2,2,2,2,1,,2,,0
19,6,,0,1,6871,0120,69,2,1,1,1,,1,1,1,1,2,2,2,2,2,1,,2,,0
19,1,30,45000,1,8680,4110,24,2,8,5,1,,1,2,1,2,2,2,2,2,2,1,1,1,2,0
19,1,40,80000,1,6290,9620,50,1,9,1,1,1,1,1,2,2,2,2,2,2,1,1,,2,,0
17,1,40,36400,2,9160,2040,63,1,1,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
12,,,0,,,,15,1,8,5,1,,1,2,2,2,1,2,2,2,1,1,1,1,,0
22,6,,0,,,,61,2,6,1,2,,1,1,2,2,2,2,2,2,2,4,2,1,,0
09,,,,,,,13,2,8,5,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
21,1,48,48000,1,8191,3603,63,2,9,5,2,1,1,1,2,2,2,2,2,2,2,4,3,1,,0
14,6,,0,,,,17,1,6,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,40,80000,4,7870,1108,54,2,6,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
18,1,19,18400,3,7860,4600,59,2,1,1,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
19,3,50,0,6,6890,0120,50,1,1,1,1,,1,2,1,2,2,2,2,2,1,1,,2,,0
12,,,0,,,,15,1,7,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,3,40,23700,1,7490,0051,23,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
19,1,25,9000,1,0770,6260,20,1,1,5,1,1,1,2,2,2,1,2,2,2,2,1,,2,,0
17,1,40,80000,3,0690,5000,39,2,1,4,1,2,1,1,2,2,2,2,2,2,2,1,,2,2,0
19,6,,0,,,,74,2,1,1,1,,1,1,2,1,2,2,2,2,2,1,,2,,0
01,,,,,,,4,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,,,0
21,6,,0,,,,73,2,1,4,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
23,1,60,80000,3,7860,2320,36,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
16,6,,0,,,,69,2,2,3,1,,1,1,2,1,2,2,2,2,1,1,,2,,1
09,,,,,,,12,1,8,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,1
19,6,,0,,,,20,1,2,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,40,111000,4,9470,3870,50,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
11,1,30,16000,1,7690,4220,38,2,1,1,2,1,1,1,2,2,2,2,2,2,2,5,1,1,2,0
23,6,50,41900,7,7480,3250,60,1,1,1,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
16,1,60,7100,1,0770,6240,49,1,9,5,2,2,2,2,2,2,2,2,2,2,2,5,1,1,,0
24,1,55,175000,1,2190,1760,47,1,1,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
19,1,40,84000,1,7270,5860,36,1,8,5,1,1,2,2,2,2,2,2,2,2,2,1,1,1,,0
01,6,,0,,,,38,2,1,1,1,,1,2,2,2,1,2,2,2,1,1,1,1,2,0
21,1,35,30000,1,7390,0725,31,2,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,6,,0,,,,75,2,1,1,1,,1,2,1,1,2,2,2,2,1,1,,2,,0
16,6,,0,,,,23,1,6,5,1,,2,2,2,2,2,2,2,2,2,1,1,1,,1
13,6,,0,,,,17,1,9,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,1
23,1,60,565000,1,7570,3090,44,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
20,6,,0,,,,78,2,6,1,1,,1,1,1,1,2,2,2,2,2,1,,2,,0
18,6,,0,,,,63,2,6,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
23,1,40,72000,7,7970,3090,49,2,8,4,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,6,,0,,,,78,1,6,1,2,,1,2,2,1,1,2,2,2,2,5,2,1,,0
19,1,24,12300,1,4971,9620,22,2,9,5,1,2,1,1,2,2,2,2,2,2,2,1,,2,2,0
20,1,40,24000,1,4390,4850,30,1,6,1,2,1,2,2,2,2,2,2,2,2,2,5,1,1,,0
16,6,,0,2,8470,4600,57,2,9,5,2,,1,2,2,2,1,2,2,2,1,4,1,1,,0
10,,,,,,,14,1,1,5,1,,1,1,2,2,1,2,2,2,2,1,,2,,0
19,1,18,0,6,8590,4621,48,1,9,3,2,,1,1,2,2,2,2,2,2,2,5,1,1,,0
21,3,,0,9,9920,9920,36,1,2,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,1
23,1,42,145000,1,7490,0705,53,1,1,1,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
08,,,,,,,12,2,9,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,1
15,6,,0,,,,45,1,1,5,1,,1,2,2,2,1,2,2,2,1,1,,2,,0
16,1,20,33300,1,0770,6355,41,1,8,5,1,1,1,2,2,2,1,2,2,2,2,1,1,1,,0
16,1,25,8000,1,8680,4150,26,2,8,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0
16,6,,0,,,,94,2,1,2,2,,1,2,2,1,1,2,2,2,1,4,3,1,,1
14,1,40,70000,1,8680,9130,52,1,8,5,2,1,2,2,2,2,2,2,2,2,2,4,,2,,0
15,1,40,48000,1,8770,7200,43,1,9,5,1,1,1,2,2,2,1,2,2,2,2,1,1,1,,0
16,6,,0,,,,71,1,1,5,1,,1,2,2,1,2,2,1,2,1,1,,2,,0
20,6,,0,,,,69,2,1,3,1,,1,1,2,1,1,2,2,2,1,1,,2,,1
16,1,40,36000,1,4981,6040,24,2,9,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
22,1,45,70000,1,7870,2205,43,2,6,5,2,1,1,1,2,2,2,2,2,2,1,4,1,1,2,0
19,6,,0,,,,76,1,1,1,1,,1,1,2,1,2,2,2,2,1,1,,2,,0
19,1,35,30000,1,4871,4760,21,2,6,5,2,3,1,2,1,2,2,2,2,2,2,5,1,1,2,0
16,6,,0,,,,43,1,8,5,1,,1,2,2,1,1,2,2,2,1,1,,2,,1
16,1,40,29000,1,8191,5110,60,2,3,1,2,1,1,1,2,2,2,2,2,2,2,4,3,1,,0
15,1,15,1500,1,8680,4020,17,1,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
23,1,40,155000,1,6871,2100,43,1,1,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
24,1,40,30000,2,9170,2850,37,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
18,3,35,0,6,7380,5810,18,1,1,5,1,,1,2,2,2,2,1,2,2,2,1,,2,,0
13,6,,0,2,0770,6250,45,1,8,5,1,,1,2,2,1,1,2,2,2,2,1,1,1,,0
09,,,,,,,12,2,8,5,2,,1,2,2,2,1,2,2,2,2,5,2,1,,1
12,6,,0,,,,16,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
21,3,,0,1,8680,4010,59,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,40,150000,4,9470,3870,46,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
16,1,40,32000,1,8770,9645,58,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
19,1,40,85000,1,7690,4220,45,1,8,4,1,2,1,2,1,2,2,2,2,2,2,1,1,1,,0
16,6,,0,,,,71,1,9,5,1,,1,2,2,1,2,2,1,2,2,1,1,1,,0
21,1,80,260000,1,6671,0010,38,1,1,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
22,1,24,110000,2,8191,3255,52,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
22,1,40,100000,3,7860,2320,60,2,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,60,53000,1,6970,0120,43,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,1,1,,0
22,1,48,150000,2,8191,3255,67,2,9,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
03,,,,,,,6,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
17,6,,0,,,,76,1,1,2,1,,1,2,2,1,2,2,2,2,1,1,,2,,0
24,1,50,400000,1,3960,0650,58,2,6,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
17,6,,0,2,7890,2360,63,2,1,3,1,,1,2,1,2,2,2,2,2,2,1,,2,,1
16,1,14,4000,1,8680,4055,18,1,8,5,1,1,1,1,2,2,1,2,2,2,2,1,,2,,0
16,1,10,0,6,6590,2751,49,1,1,1,2,,1,2,1,2,2,2,2,2,2,5,1,1,,0
19,6,,0,,,,71,2,1,2,1,,1,2,1,1,2,2,2,2,2,1,,2,,1
02,,,,,,,5,1,6,5,1,,1,1,1,2,2,2,2,2,2,1,,2,,0
22,1,50,687000,1,7380,0440,47,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
18,1,35,20700,1,8980,4510,46,2,9,1,2,1,1,1,1,2,2,2,2,2,2,5,,2,2,0
19,6,,0,6,0770,6660,65,1,1,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
16,6,,0,,,,78,2,1,1,2,,1,2,2,1,2,2,2,2,2,4,1,1,,0
22,1,60,36300,1,8590,0335,46,1,6,3,2,1,1,1,2,2,2,2,2,2,2,4,2,1,,0
04,,,,,,,8,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,2,1,,0
01,6,,0,,,,65,2,6,2,2,,1,2,2,1,1,2,2,2,1,4,3,1,,1
11,,,,,,,14,1,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,40,87000,1,3390,2600,33,1,6,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
20,1,36,66000,2,8191,3220,42,1,6,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
02,,,,,,,3,2,1,5,1,,1,2,1,2,2,2,2,2,2,1,,,,0
16,1,40,53000,1,7690,7315,48,1,1,5,1,1,1,2,2,2,1,2,2,2,2,1,,2,,0
17,6,,0,,,,81,1,1,1,1,,1,1,2,1,2,2,1,2,2,1,,2,,0
21,6,,0,1,6671,2805,65,1,1,1,1,,1,1,2,1,2,2,1,2,2,1,,2,,0
01,,,,,,,5,1,1,5,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
21,1,40,80000,5,9590,7315,50,1,6,5,2,1,1,1,2,2,2,2,2,2,2,4,1,1,,0
19,6,,0,,,,75,2,1,2,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
17,1,40,32000,7,5071,4700,48,1,6,1,1,2,2,2,2,2,2,2,2,2,2,1,,2,,0
21,1,20,12000,7,8180,3500,60,1,1,5,1,,1,2,1,1,1,2,2,2,1,1,,2,,1
18,6,,0,,,,70,2,1,2,2,,1,2,2,1,2,2,2,2,2,4,2,1,,0
02,,,,,,,4,1,8,5,1,,1,1,2,2,2,2,2,2,2,1,,,,0
16,6,,0,,,,35,1,3,5,1,,1,2,2,2,1,2,2,2,1,1,,2,,1
22,1,40,98000,4,7870,2435,63,1,9,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
19,3,,0,1,7071,4920,67,2,6,1,2,,1,2,2,1,2,2,2,2,2,4,2,1,,0
22,1,40,220000,1,3490,0440,59,1,6,1,2,,1,1,2,2,2,2,2,2,2,4,1,1,,0
19,1,40,75000,1,2190,0440,38,2,9,3,2,1,1,1,2,2,2,2,2,2,2,4,1,1,1,0
23,1,40,150000,7,7970,3090,50,2,6,1,1,1,1,1,1,2,2,2,2,2,2,1,,2,2,0
16,6,,0,,,,36,2,9,1,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
18,1,40,20000,1,6890,5330,21,1,9,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
21,1,20,11200,8,9090,4525,33,2,1,1,2,2,2,2,2,2,2,2,2,2,2,5,1,1,2,0
06,,,,,,,9,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
16,1,40,0,6,3895,8500,67,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,,2,,0
21,1,40,80000,1,6890,4820,30,1,6,5,1,1,1,1,2,2,2,2,2,2,2,1,,2,,0
21,6,,0,,,,71,2,2,2,1,,1,1,2,1,2,2,2,2,1,1,,2,,0
21,6,,0,1,6671,2920,33,1,1,1,1,,1,1,1,2,2,2,2,2,2,1,,2,,0
08,,,,,,,11,2,1,5,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
01,6,,0,,,,22,1,9,5,1,,1,2,2,2,1,2,2,2,1,1,,2,,0
19,3,,0,9,9920,9920,47,1,6,5,2,,1,2,2,2,1,2,2,2,2,4,2,1,,1
16,1,60,32000,2,6390,8990,31,2,8,5,1,3,1,2,2,2,1,2,2,2,2,1,1,1,2,0
21,1,40,0,6,7071,0410,30,1,1,1,1,,1,2,1,2,2,2,2,2,2,1,,2,,0
19,6,,0,,,,70,2,6,1,2,,1,2,2,1,1,2,2,2,1,4,4,1,,0
21,1,40,55000,4,9570,4920,45,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,,2,2,0
01,1,40,40000,1,6390,9620,28,2,9,5,1,,1,1,2,2,2,2,2,2,2,1,,2,2,0
22,1,40,88000,1,7380,1021,35,1,6,1,2,,1,1,2,2,2,2,2,2,2,5,,2,,0
16,1,44,140000,1,7770,0052,55,1,8,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
22,1,24,22000,1,8191,3603,47,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,,2,2,0
18,1,16,3000,1,4871,5240,20,2,9,5,1,2,1,1,1,2,2,2,2,2,1,1,,2,2,0
08,,,,,,,12,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,1,1,,0
13,1,30,10000,1,0170,6050,38,1,1,1,2,2,1,2,2,2,1,2,2,2,2,5,3,1,,1
19,1,25,10000,1,8680,4055,19,1,6,5,1,1,2,2,2,2,2,2,2,2,2,1,1,1,,0
16,6,,0,1,8680,4030,28,2,1,1,1,,1,2,1,2,2,2,2,2,2,1,,2,2,0
