RELSHIPP,SCHL,SCH,SCHG,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,HISP,MAR,NATIVITY,CIT,ENG,LANX,DRIVESP,JWMNP,JWTRNS,HICOV,PRIVCOV,PUBCOV,DIS,DEAR,DEYE,DPHY,FER,PINCP,SEMP,SSIP,SSP,poverty_status
20,16,1,,6,,0,1,0770,7315,42,1,3,01,1,1,1,,2,,,,1,1,1,1,2,2,2,,0,0,0,0,0
25,16,3,15,2,32,25000,1,7480,3648,22,2,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,2,25000,0,0,0,0
21,20,1,,1,6,3500,1,7580,0725,62,2,1,01,1,1,1,,2,1,15,01,1,1,2,1,1,1,1,,13500,0,0,10000,0
21,22,1,,1,40,137000,1,7460,0360,44,2,9,01,1,1,1,,2,,,11,1,1,2,2,2,2,2,2,181000,44000,0,0,0
25,02,2,02,,,,,,,6,2,9,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
25,16,1,,6,30,1000,8,6190,9142,31,1,1,01,5,1,1,,2,,,,1,2,1,1,2,2,2,,11000,0,0,0,0
20,24,1,,1,45,75000,2,7870,2205,35,2,8,01,3,2,4,1,1,,,11,1,1,2,2,2,2,2,2,75900,0,0,0,0
33,01,1,,6,,0,,,,69,2,1,02,1,2,4,3,1,,,,1,2,1,2,2,2,2,,0,0,0,0,0
20,21,1,,6,,0,,,,79,2,9,01,5,1,1,,2,,,,1,2,1,2,2,2,2,,22200,0,0,22200,0
25,16,2,15,1,24,8000,1,4971,9620,20,1,9,02,5,1,1,1,1,1,30,01,1,1,1,2,2,2,2,,8000,0,0,0,0
20,21,1,,1,40,100000,1,6570,2920,47,1,2,01,1,2,4,,2,,,11,1,1,2,2,2,2,2,,100000,0,0,0,0
20,20,1,,1,45,150000,7,6570,2710,39,1,1,01,4,1,1,,2,,,11,1,1,2,2,2,2,2,,151600,0,0,0,0
20,24,1,,1,40,80000,4,7870,2205,45,2,1,01,1,1,1,,2,1,40,01,1,1,2,2,2,2,2,2,80000,0,0,0,0
21,19,3,15,6,,0,1,3390,7750,34,2,6,01,1,2,4,2,1,,,,1,1,2,2,2,2,2,2,0,0,0,0,0
20,19,2,15,6,,0,,,,64,1,2,01,5,1,1,1,1,,,,1,1,2,2,2,2,2,,0,0,0,0,1
21,06,1,,6,,0,,,,70,2,8,02,1,2,4,4,1,,,,1,2,1,2,2,2,2,,0,0,0,0,1
25,13,2,12,,,0,,,,15,2,6,01,5,1,1,,2,,,,1,1,2,2,2,2,2,2,0,0,0,0,0
